,Age,Number of Dependents,Latitude,Longitude,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Internet Type_DSL,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Customer Status
0,37,0,34.827662,-118.999073,2,9,42.39,16.0,65.6,593.3,381.51,974.81,0,1,0,1,Stayed
1,46,0,34.162515,-118.203869,0,9,10.69,10.0,60.266666666666666,542.4,96.21,610.28,0,0,1,0,Stayed
2,50,0,33.645672,-117.922613,0,4,33.65,30.0,73.9,280.85,134.6,415.45,0,1,1,0,Churned
3,78,0,38.014457,-122.115432,1,13,27.82,4.0,98.0,1237.85,361.66,1599.51,0,1,1,0,Churned
4,75,0,34.227846,-119.079903,3,3,7.38,11.0,83.9,267.4,22.14,289.54,0,1,1,0,Churned
5,23,3,37.581496,-119.972762,0,9,16.77,73.0,69.4,571.45,150.93,722.38,0,1,1,0,Stayed
6,67,0,34.757477,-120.550507,1,71,9.96,14.0,109.7,7904.25,707.16,8611.41,0,1,0,0,Stayed
7,52,0,38.489789,-122.27011,8,63,12.96,7.0,84.65,5377.8,816.48,6214.28,0,0,0,0,Stayed
8,68,0,34.296813,-118.685703,0,7,10.53,21.0,48.2,340.35,73.71,414.06,1,1,0,0,Stayed
9,43,1,38.984756,-121.345074,3,65,28.46,14.0,90.45,5957.9,1849.9,7807.8,0,1,0,0,Stayed
10,47,0,32.99356,-117.207121,0,54,0.0,10.0,45.2,2460.55,0.0,2460.55,0,1,0,0,Stayed
11,25,2,37.378541,-122.020456,2,72,16.01,59.0,116.8,8456.75,1152.72,9609.47,0,1,0,0,Stayed
12,58,0,38.715498,-121.363411,0,5,18.65,10.0,68.95,351.5,93.25,444.75,0,1,1,0,Stayed
13,32,0,32.782501,-117.01611,0,72,2.25,16.0,101.3,7261.25,162.0,7423.25,0,1,0,0,Stayed
14,39,0,34.70434,-120.02609,0,56,0.0,19.0,45.05,2560.1,0.0,2560.1,1,1,0,0,Stayed
15,58,2,36.464635,-119.094348,9,71,27.26,12.0,95.75,6849.4,1935.46,8784.86,0,1,0,0,Stayed
16,52,1,38.060264,-122.830646,0,34,0.0,20.0,61.25,1993.2,0.0,1993.2,1,1,0,1,Stayed
18,79,0,37.680844,-122.48131,0,45,10.67,17.0,62.7,2791.5,480.15,3271.65,1,1,0,1,Churned
19,67,0,37.161544,-121.649371,0,1,0.0,9.0,25.1,25.1,0.0,25.1,0,1,1,0,Churned
20,79,0,37.375816,-119.739935,0,50,31.43,0.0,25.2,1306.3,1571.5,2877.8,0,0,0,1,Stayed
21,26,0,39.227434,-120.091806,1,13,43.56,52.0,94.1,1215.6,566.28,1781.88,0,1,1,0,Churned
22,30,2,35.869626,-119.498771,1,23,34.91,30.0,83.75,1849.95,802.93,2652.88,0,1,1,0,Stayed
24,34,0,40.7666,-123.80458,0,4,12.43,0.0,20.35,76.35,49.72,126.07,0,0,1,0,Churned
25,37,1,33.309852,-116.823091,1,1,0.0,19.0,30.5,30.5,0.0,30.5,1,1,1,0,Churned
26,37,3,36.622237,-119.521126,10,55,35.04,57.0,103.7,5656.75,1927.2,7603.95,0,0,0,1,Stayed
27,42,3,37.612612,-121.108568,3,54,19.7,0.0,20.4,1090.6,1063.8,2154.4,0,0,0,0,Stayed
28,64,0,38.368744,-122.522642,0,26,37.7,0.0,19.6,471.85,980.2,1430.8,0,0,0,1,Stayed
29,47,3,40.737431,-124.108897,5,69,38.39,0.0,19.7,1396.9,2648.91,4045.81,0,0,0,0,Stayed
30,23,3,37.515556,-122.502311,1,37,43.01,51.0,91.2,3247.55,1591.37,4838.92,0,1,0,1,Stayed
31,48,0,34.001617,-118.222274,5,49,49.58,0.0,20.45,900.9,2429.42,3330.32,0,0,0,1,Stayed
32,28,0,34.044271,-118.185237,9,66,43.77,41.0,120.33560606060605,7942.15,2888.82,10830.97,0,1,0,1,Stayed
